"","Gene","x","y"
"1",1,8400,44522
"2",1,7503,42213
"3",1,7253,43802
"4",1,8611,40784
"5",1,5318,41871
"6",1,5321,40787
"7",1,6898,40807
"8",1,6828,40769
"9",1,6648,40512
"10",1,7145,42138
"11",1,6610,44000
"12",1,9693,40853
"13",1,8818,41369
"14",1,8629,44170
"15",1,6652,43927
"16",1,7272,40094
"17",1,7301,43544
"18",1,7047,40182
"19",1,9378,40545
"20",1,7094,40314
"21",1,6944,40737
"22",1,7327,40196
"23",1,7640,43908
"24",1,7040,44480
"25",1,7531,40577
"26",1,8972,40230
"27",1,7600,43438
"28",1,9856,40462
"29",1,8157,40556
"30",1,7286,43547
"31",1,5305,41368
"32",1,7006,44478
"33",1,7247,40329
"34",1,6707,44222
"35",1,7568,40533
"36",1,8163,40626
"37",1,5887,41539
"38",1,8943,41042
"39",1,7051,40875
"40",1,7660,40423
"41",1,7365,40461
"42",1,8137,40917
"43",1,8995,40235
"44",1,7777,41159
"45",1,7587,40740
"46",1,6212,42643
"47",1,6872,43230
"48",1,8131,40269
"49",1,6967,43865
"50",1,7442,43382
"51",1,8606,43335
"52",1,9504,40678
"53",1,9539,40118
"54",1,5320,40331
"55",1,6878,41041
"56",1,7728,44573
"57",1,9122,40729
"58",1,7416,44811
"59",1,7140,40172
"60",1,8433,44585
"61",1,6829,41241
"62",1,8527,41216
"63",1,5196,44132
"64",1,7757,40366
"65",1,5040,42860
"66",1,7933,40738
"67",1,7289,44914
"68",1,8368,44240
"69",1,7886,42502
"70",1,8893,41257
"71",1,7533,44177
"72",1,6796,43319
"73",1,7134,40038
"74",1,7134,42976
"75",1,7249,41229
"76",1,6240,43867
"77",1,7237,41817
"78",1,9849,40483
"79",1,8500,44995
"80",1,5277,40957
"81",1,7344,40786
"82",1,7376,43446
"83",1,8456,44588
"84",1,7857,41067
"85",1,6583,43982
"86",1,9652,40606
"87",1,6564,43258
"88",1,5275,40164
"89",1,8381,40757
"90",1,8838,40542
"91",1,6761,40355
"92",1,7280,41137
"93",1,7331,43676
"94",1,9705,40122
"95",1,6565,44124
"96",1,8501,43865
"97",1,5181,43105
"98",1,8377,44702
"99",1,7176,43752
"100",1,7019,42203
"101",1,5800,42053
"102",1,7698,40083
"103",1,5123,42740
"104",1,5816,42069
"105",1,7017,40553
"106",1,8352,44563
"107",1,6883,40473
"108",1,9256,41244
"109",1,6840,40388
"110",1,6530,41324
"111",1,9037,40713
"112",1,8740,43870
"113",1,6515,44175
"114",1,8528,44687
"115",1,7689,40273
"116",1,7609,40626
"117",1,7472,40810
"118",1,7147,43726
"119",1,7197,43715
"120",1,7014,42529
"121",1,8396,44322
"122",1,6913,44471
"123",1,8294,44646
"124",1,7416,43642
"125",1,8330,40665
"126",1,7163,44281
"127",1,7946,42460
"128",1,5099,42888
"129",1,6702,40501
"130",1,8333,44690
"131",1,6589,40118
"132",1,7032,40804
"133",1,7205,43743
"134",1,9601,40824
"135",1,8427,44619
"136",1,7593,43699
"137",1,9963,40484
"138",1,7441,40574
"139",1,6916,40690
"140",1,7418,42178
"141",1,8300,44702
"142",1,5136,42924
"143",1,7078,44286
"144",1,6718,40167
"145",1,9550,41090
"146",1,7167,40308
"147",1,7478,40465
"148",1,5272,40942
"149",1,8821,40324
"150",1,7198,41121
"151",1,7162,40307
"152",1,7898,43602
"153",1,8315,44698
"154",1,7216,43755
"155",1,7251,40398
"156",1,7629,42613
"157",1,7398,43656
"158",1,6689,42354
"159",1,7615,44364
"160",1,7690,40417
"161",1,6559,40247
"162",1,9192,41074
"163",1,5106,42911
"164",1,7636,40547
"165",1,9459,40243
"166",1,7445,43530
"167",1,9258,41281
"168",1,8521,43648
"169",1,5003,42826
"170",1,8569,43512
"171",1,7565,42747
"172",1,6625,44115
"173",1,7247,40336
"174",1,6924,42317
"175",1,7906,40895
"176",1,5793,42063
"177",1,6979,44632
"178",1,7391,43684
"179",1,7457,40167
"180",1,5083,42871
"181",1,7347,41573
"182",1,7151,41171
"183",1,7098,41226
"184",1,7443,43520
"185",1,7540,40413
"186",1,7407,41393
"187",1,8743,41261
"188",1,8000,41127
"189",1,7055,40651
"190",1,5361,41225
"191",1,7102,44511
"192",1,8439,44561
"193",1,7689,40722
"194",1,9935,40656
"195",1,7502,40387
"196",1,7632,43891
"197",1,6576,43255
"198",1,6617,44109
"199",1,8287,44573
"200",1,5152,43058
"201",1,6964,40743
"202",1,7263,41365
"203",1,9848,43571
"204",1,9173,41066
"205",1,6896,40139
"206",1,8716,43524
"207",1,7381,43080
"208",1,8973,40400
"209",1,7570,43817
"210",1,7901,41148
"211",1,7866,41353
"212",1,7432,44068
"213",1,9912,40197
"214",1,7622,44452
"215",1,7600,42700
"216",1,5242,43085
"217",1,8326,44251
"218",1,5007,44511
"219",1,7348,44495
"220",1,7400,41394
"221",1,7459,42503
"222",1,9897,44793
"223",1,7096,41217
"224",1,8301,44650
"225",1,6624,40843
"226",1,7060,40659
"227",1,5512,44996
"228",1,8366,40740
"229",1,5015,42822
"230",1,7205,43701
"231",1,7748,40900
"232",1,7671,40757
"233",1,7256,42812
"234",1,6850,42841
"235",1,9811,43611
"236",1,5227,40149
"237",1,9095,40600
"238",1,7924,43662
"239",1,6992,43877
"240",1,6798,40905
"241",1,6013,42084
"242",1,9219,40269
"243",1,6905,44405
"244",1,6994,40333
"245",1,6907,42538
"246",1,7602,40350
"247",1,7816,44943
"248",1,7208,43753
"249",1,7338,44980
"250",1,5619,42665
"251",1,7122,43775
"252",1,5582,41720
"253",1,7465,42475
"254",1,8231,40461
"255",1,6004,42072
"256",1,9675,40559
"257",1,7005,44262
"258",1,6941,44084
"259",1,7389,43669
"260",1,8301,44268
"261",1,5622,40223
"262",1,6524,43976
"263",1,6211,42694
"264",1,6789,40444
"265",1,6454,40031
"266",1,5436,43455
"267",1,8962,40236
"268",1,8743,40474
"269",1,6686,44240
"270",1,7047,40943
"271",1,9907,40667
"272",1,7189,40645
"273",1,5390,40536
"274",1,8414,41183
"275",1,7210,43760
"276",1,5279,43035
"277",1,8742,43578
"278",1,6058,40671
"279",1,6983,42045
"280",1,8904,41306
"281",1,6911,44611
"282",1,7522,40461
"283",1,7071,43995
"284",1,7899,44545
"285",1,5559,41263
"286",1,7688,44070
"287",1,7843,43254
"288",1,9220,41076
"289",1,6369,41679
"290",1,7007,44192
"291",1,7185,43735
"292",1,9932,43900
"293",1,8749,40301
"294",1,7589,40177
"295",1,7919,41855
"296",1,7203,41344
"297",1,6703,44190
"298",1,5791,42058
"299",1,8381,44296
"300",1,9970,40343
"301",1,9963,42254
"302",1,7034,44040
"303",1,7201,41739
"304",1,6946,41032
"305",1,8369,44784
"306",1,6107,41728
"307",1,8734,41300
"308",1,7143,43839
"309",1,7483,43661
"310",1,7876,44118
"311",1,7940,41348
"312",1,7673,43854
"313",1,8192,41177
"314",1,8530,43625
"315",1,8381,40738
"316",1,6633,43924
"317",1,7537,43025
"318",1,6958,44716
"319",1,5805,40723
"320",1,8565,44160
"321",1,7540,40505
"322",1,5006,42821
"323",1,7799,40357
"324",1,7173,42324
"325",1,7078,40698
"326",1,6934,42132
"327",1,7176,43743
"328",1,9047,40528
"329",1,8766,41076
"330",1,8375,44574
"331",1,6895,40931
"332",1,7531,42237
"333",1,7777,42793
"334",1,7402,40371
"335",1,8955,40236
