"","x","y"
"1",5686,45000
"2",5157,44998
"3",7030,44998
"4",7137,44998
"5",9767,44996
"6",6310,44995
"7",7586,44987
"8",7435,44985
"9",9881,44982
"10",6048,44975
"11",9161,44969
"12",6151,44964
"13",8380,44962
"14",5732,44953
"15",5490,44951
"16",10000,44949
"17",8114,44946
"18",6918,44940
"19",8455,44935
"20",7310,44934
"21",7020,44924
"22",9695,44921
"23",7633,44920
"24",8537,44919
"25",9921,44912
"26",6075,44910
"27",7824,44904
"28",9529,44903
"29",5409,44902
"30",9242,44888
"31",6644,44883
"32",6014,44872
"33",5090,44857
"34",7015,44852
"35",8192,44849
"36",5170,44846
"37",7289,44845
"38",7105,44837
"39",7561,44833
"40",9405,44821
"41",9789,44816
"42",7388,44805
"43",5803,44794
"44",9859,44790
"45",9466,44788
"46",9719,44780
"47",7842,44779
"48",8876,44779
"49",6728,44778
"50",7457,44774
"51",6932,44772
"52",6579,44766
"53",8110,44761
"54",6843,44759
"55",6159,44748
"56",6364,44743
"57",9528,44743
"58",7673,44740
"59",8198,44722
"60",6261,44715
"61",5934,44714
"62",8294,44711
"63",6905,44704
"64",8443,44704
"65",9222,44704
"66",5300,44691
"67",6523,44684
"68",7435,44681
"69",5515,44667
"70",6980,44661
"71",7196,44661
"72",7364,44660
"73",9707,44657
"74",5450,44656
"75",6402,44655
"76",7758,44635
"77",9904,44630
"78",7138,44620
"79",5300,44617
"80",5386,44616
"81",6250,44604
"82",7072,44593
"83",8505,44593
"84",8396,44592
"85",6492,44582
"86",9391,44580
"87",6977,44576
"88",9986,44576
"89",7277,44555
"90",8559,44554
"91",7864,44539
"92",7780,44532
"93",8062,44532
"94",6685,44531
"95",5218,44519
"96",6244,44516
"97",7702,44513
"98",8282,44500
"99",5064,44499
"100",5281,44497
"101",7616,44496
"102",6580,44488
"103",6744,44488
"104",7155,44488
"105",6950,44485
"106",9263,44483
"107",6294,44464
"108",5363,44461
"109",7031,44452
"110",6689,44447
"111",8498,44446
"112",7239,44437
"113",8575,44428
"114",9372,44419
"115",9583,44419
"116",5568,44417
"117",6518,44408
"118",5678,44404
"119",8050,44401
"120",5233,44397
"121",7833,44393
"122",6028,44377
"123",5835,44376
"124",8486,44375
"125",5139,44370
"126",5507,44364
"127",7695,44356
"128",9487,44353
"129",6890,44337
"130",6599,44332
"131",9065,44315
"132",7896,44314
"133",9832,44309
"134",7416,44308
"135",8434,44308
"136",7169,44298
"137",5866,44296
"138",8650,44287
"139",7236,44286
"140",9612,44278
"141",6579,44270
"142",8715,44260
"143",6339,44259
"144",8173,44255
"145",8400,44250
"146",6991,44247
"147",8075,44226
"148",6840,44217
"149",6722,44216
"150",8574,44216
"151",7793,44207
"152",9953,44206
"153",9801,44203
"154",9518,44199
"155",9696,44196
"156",6647,44183
"157",6497,44182
"158",6158,44178
"159",6266,44173
"160",6578,44165
"161",8178,44156
"162",8004,44154
"163",7453,44152
"164",8290,44146
"165",8102,44139
"166",7126,44134
"167",9413,44133
"168",9295,44118
"169",6623,44116
"170",5758,44113
"171",5179,44104
"172",7597,44086
"173",9940,44086
"174",8720,44083
"175",5419,44077
"176",9501,44068
"177",6313,44067
"178",7235,44063
"179",9358,44059
"180",6504,44055
"181",7888,44053
"182",7804,44045
"183",5982,44038
"184",6639,44035
"185",9761,44025
"186",8441,44022
"187",7153,44021
"188",8741,44019
"189",5757,44018
"190",8374,44013
"191",7370,44001
"192",6208,43978
"193",9422,43967
"194",6745,43959
"195",8857,43959
"196",9190,43951
"197",5027,43938
"198",7297,43936
"199",7631,43933
"200",7720,43932
"201",6808,43920
"202",8209,43916
"203",8948,43908
"204",8702,43903
"205",5129,43893
"206",6088,43889
"207",9991,43888
"208",9639,43887
"209",6658,43885
"210",8073,43882
"211",6988,43878
"212",7827,43878
"213",7762,43876
"214",8821,43875
"215",5502,43873
"216",7934,43869
"217",9102,43866
"218",8151,43863
"219",9227,43851
"220",6193,43849
"221",5391,43831
"222",6411,43824
"223",9856,43822
"224",7558,43811
"225",9320,43806
"226",6779,43801
"227",6541,43795
"228",8612,43795
"229",7655,43775
"230",9534,43772
"231",6054,43770
"232",6216,43770
"233",7155,43759
"234",8349,43744
"235",9092,43741
"236",6493,43737
"237",6344,43732
"238",7339,43730
"239",5823,43724
"240",6736,43721
"241",8193,43718
"242",6824,43717
"243",7812,43711
"244",9577,43711
"245",5451,43696
"246",9497,43691
"247",6158,43686
"248",8554,43675
"249",8375,43664
"250",9994,43657
